,date,gdp
0,1979/1/1,2526.61
1,1979/4/1,2591.247
2,1979/7/1,2667.565
3,1979/10/1,2723.883
4,1980/1/1,2789.842
5,1980/4/1,2797.352
6,1980/7/1,2856.483
7,1980/10/1,2985.557
8,1981/1/1,3124.206
9,1981/4/1,3162.532
10,1981/7/1,3260.609
11,1981/10/1,3280.818
12,1982/1/1,3274.302
13,1982/4/1,3331.972
14,1982/7/1,3366.322
15,1982/10/1,3402.561
16,1983/1/1,3473.413
17,1983/4/1,3578.848
18,1983/7/1,3689.179
19,1983/10/1,3794.706
20,1984/1/1,3908.054
21,1984/4/1,4009.601
22,1984/7/1,4084.25
23,1984/10/1,4148.551
